Country,GDP.capita...US.,Life.expectancy,Population,Region,Continent,Asia,Europe,Africa,Oceania,South.America,North.America
Afghanistan,687.5813677,60.50912195,29824536,ASIA (EX. NEAR EAST)         ,1,60.50912195,-99,-99,-99,-99,-99
Albania,4256.016702,77.35046341,2900489,EASTERN EUROPE                     ,2,-99,77.35046341,-99,-99,-99,-99
Algeria,5309.822369,70.88217073,38481705,NORTHERN AFRICA                    ,3,-99,-99,70.88217073,-99,-99,-99
AmericanSamoa,-99,-99,55128,OCEANIA                            ,4,-99,-99,-99,-99,-99,-99
Andorra,-99,-99,78360,WESTERN EUROPE                     ,2,-99,-99,-99,-99,-99,-99
Angola,5539.800724,51.464,20820525,SUB-SAHARAN AFRICA                 ,3,-99,-99,51.464,-99,-99,-99
Anguilla,-99,-99,-99,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,-99,-99
AntiguaandBarbuda,13525.61622,75.66531707,89069,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,75.66531707,-99
Argentina,14679.92524,76.01268293,41086927,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,76.01268293,-99
Armenia,3353.973125,74.43721951,2969081,C.W. OF IND. STATES ,1,74.43721951,-99,-99,-99,-99,-99
Aruba,-99,75.2067561,102384,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,75.2067561,-99
Australia,67511.68833,82.04634146,22728300,OCEANIA                            ,4,-99,-99,-99,82.04634146,-99,-99
Austria,48348.23206,80.93658537,8429991,WESTERN EUROPE                     ,2,-99,80.93658537,-99,-99,-99,-99
Azerbaijan,7393.771877,70.62495122,9295784,C.W. OF IND. STATES ,1,70.62495122,-99,-99,-99,-99,-99
"Bahamas,The",22096.46199,74.91446341,371960,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,74.91446341,-99
Bahrain,23339.01944,76.53619512,1317827,NEAR EAST                          ,1,76.53619512,-99,-99,-99,-99,-99
Bangladesh,862.0538953,70.29485366,154695368,ASIA (EX. NEAR EAST)         ,1,70.29485366,-99,-99,-99,-99,-99
Barbados,14917.14951,75.13202439,283221,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,75.13202439,-99
Belarus,6721.834908,71.96585366,9464000,C.W. OF IND. STATES ,1,71.96585366,-99,-99,-99,-99,-99
Belgium,44827.66283,80.38536585,11128246,WESTERN EUROPE                     ,2,-99,80.38536585,-99,-99,-99,-99
Belize,4856.715732,73.69914634,324060,LATIN AMER. & CARIB    ,5,-99,-99,-99,-99,73.69914634,-99
Benin,750.5131242,59.1194878,10050702,SUB-SAHARAN AFRICA                 ,3,-99,-99,59.1194878,-99,-99,-99
Bermuda,84470.75527,81.67780488,64798,NORTHERN AMERICA                   ,6,-99,-99,-99,-99,-99,81.67780488
Bhutan,2458.395828,67.88926829,741822,ASIA (EX. NEAR EAST)         ,1,67.88926829,-99,-99,-99,-99,-99
