Date,Mining,Non.mining
Jun-1960,0.506298596,17.26237
Jun-1961,0.530095759,17.26516
Jun-1962,0.602986757,16.20738
Jun-1963,0.781575657,15.99104
Jun-1964,0.754325586,16.07185
Jun-1965,0.950118765,16.06133
Jun-1966,1.463214139,16.34196
Jun-1967,1.43426001,15.77317
Jun-1968,1.732062011,16.12018
Jun-1969,2.009604502,15.27544
Jun-1970,2.216915855,15.64594
Jun-1971,2.798035422,14.72689
Jun-1972,2.642290135,13.63647
Jun-1973,1.483446903,13.53595
Jun-1974,1.365159407,13.3497
Jun-1975,1.426824297,10.94648
Jun-1976,1.154493032,10.5358
Jun-1977,0.969206105,10.27712
Jun-1978,1.334731624,10.44904
Jun-1979,1.565938931,11.31912
Jun-1980,1.575745858,10.91942
Jun-1981,2.230507674,11.58446
Jun-1982,2.931972325,11.6892
Jun-1983,3.110930267,9.85595
Jun-1984,2.042553988,10.12248
Jun-1985,1.760398882,11.11833
Jun-1986,1.929973593,11.71514
Jun-1987,1.906629776,12.19697
Jun-1988,1.819268534,13.28482
Jun-1989,1.649457651,13.5939
Jun-1990,1.529991994,12.808
Jun-1991,1.610745361,10.56561
Jun-1992,1.484294913,9.07324
Jun-1993,1.810626632,9.23154
Jun-1994,1.756821507,9.63033
Jun-1995,1.900794482,10.71866
Jun-1996,2.076061204,10.94968
Jun-1997,2.233824432,11.25351
Jun-1998,2.56674783,11.7332
Jun-1999,2.14971586,11.53729
Jun-2000,1.521063022,12.3475
Jun-2001,1.341783433,11.39292
Jun-2002,1.489506562,11.08447
Jun-2003,1.729601366,11.93753
Jun-2004,1.802392876,12.08059
Jun-2005,1.897349422,12.65504
Jun-2006,2.801597639,12.79137
Jun-2007,3.173811944,12.4329
Jun-2008,3.760419494,12.68734
Jun-2009,4.19838108,11.98635
Jun-2010,3.825692652,10.82399
Jun-2011,4.534692226,9.61971
Jun-2012,6.966475635,9.76747
